Year;Ukraine;United Kingdom
1993;0.00077697;0.519762001
1994;0.013641246;1.036609166
1995;0.043083985;1.895168284
1996;0.098580381;4.123650336
1997;0.198821885;7.385398957
1998;0.301075792;13.6699831
1999;0.405385448;21.29363827
2000;0.716183762;26.82175435
2001;1.238759547;33.48109487
2002;1.873885116;56.48
2003;3.148127588;64.82
2004;3.489477881;65.61
2005;3.749764415;70
2006;4.506124564;68.82
2007;6.55;75.09
2008;11;78.39
2009;17.9;83.56
2010;23.3;85
2011;28.70826284;85.37999855
2012;35.27;87.47999842
2013;40.954129;89.8441
2014;46.23597546;91.61
2015;48.88464368;92.0003
2016;53;94.77580063
2017;58.88947945;94.62
